date,key,begin_read,end_read,pages_total
2015-01-01,Meadows2008,1,18,
2015-10-07,Okoli2009,,,
2015-10-08,Okoli2012,1,19,
2015-10-09,Okoli2012,19,36,
2015-10-09,Okoli2012,50,55,
2015-10-12,Okoli2012,55,77,
2015-10-13,Tufte1983,1,32,
2015-10-14,Tufte1983,32,37,
2015-10-14,Tufte1983,37,44,
2015-10-16,Okoli2012,77,89,
2015-10-16,Tufte1983,44,56,
2015-10-18,Tufte1983,56,82,
2015-10-18,Tufte1983,56,82,
2015-10-20,Jullien2012,1,13,
2015-10-23,Jullien2012,13,22,
2015-10-26,Jullien2012,22,34,
2015-10-26,Tufte1983,82,121,
2015-10-27,Jullien2012,34,49,
2015-10-28,Johnson2009,1,24,
2015-10-28,Jullien2012,49,53,
2015-10-28,Ayers2011,,,
2015-10-28,Martin2011,,,
2015-10-28,Hicks2012,1,43,
2015-10-29,Yasseri2013b,,,
2015-10-29,Johnson2009,24,51,
2015-10-29,Hicks2012,43,87,
2015-10-31,Johnson2009,51,63,
2015-11-01,Kraut2012,1,25,
2015-11-01,Hicks2012,87,116,
2015-11-03,Butler2008,,,
2015-11-04,Viegas2004,,,
2015-11-08,Johnson2009,64,82,
2015-11-10,Preece2009,,,
2015-11-11,Tufte1983,121,175,
2015-11-12,Welser2011,,,
2015-11-12,SupermanEarthOne2010i1,,,
2015-11-13,Panciera2009,,,
2015-11-13,SupermanEarthOne2010i2,,,
2015-11-15,Grayson2014Annual1,,,
2015-11-15,Grayson2014FuturesEnd1,,,
2015-11-16,Priedhorsky2007,,,
2015-11-16,Grayson2014Annual2,,,
2015-11-17,Bryant2005,,,
2015-11-18,Johnson2009,82,88,
2015-11-18,Kittur2008,,,
2015-11-19,Wilkinson2008a,,,
2015-11-19,Ling2005,1,3,
2015-11-19,CaptainAtom2011i0,,,
2015-11-19,CaptainAtom2011i1,,,
2015-11-19,CaptainAtom2011i2,,,
2015-11-20,Ling2005,3,7,
2015-11-20,Reinhart2015,1,14,
2015-11-20,CaptainAtom2011i3,,,
2015-11-21,McKinney2012,1,20,
2015-11-21,CaptainAtom2011i4,,,
2015-11-22,McKinney2012,341,370,
2015-11-22,Reinhart2015,15,38,
2015-11-22,TheFlash2011i0,,,
2015-11-22,TheFlash2011i1,,,
2015-11-23,Johnson2009,88,104,
2015-11-23,McKinney2012,370,382,
2015-11-23,TheFlash2011i2,,,
2015-11-23,TheFlash2011i3,,,
2015-11-24,Ling2005,7,30,
2015-11-24,Musicant2011,,,
2015-11-24,TheFlash2011i4,,,
2015-11-25,Forte2008,,,
2015-11-26,TheFlash2011i5,,,
2015-11-26,TheFlash2011i6,,,
2015-11-27,McKinney2012,21,29,
2015-11-27,Reinhart2015,39,53,
2015-11-27,TheFlash2011i7,,,
2015-11-27,TheFlash2011i8,,,
2015-11-28,Reinhart2015,54,62,
2015-11-28,TheFlash2011i9,,,
2015-11-28,Johnson2009,104,121,
2015-11-29,Reinhart2015,62,88,
2015-11-30,Reinhart2015,89,104,
2015-11-30,Johnson2009,121,123,
2015-12-01,Lam2011,,,
2015-12-01,TheFlash2011i10,,,
2015-12-02,Johnson2009,123,151,
2015-12-02,Reinhart2015,105,129,129
2015-12-02,Meadows2008,1,4,
2015-12-03,Meadows2008,4,14,
2015-12-05,Johnson2009,151,164,
2015-12-05,Meadows2008,14,18,
2015-12-08,Tufte1983,176,191,191
2016-01-13,Gleave2009,,,
2016-01-19,Welser2011,,,
2016-01-25,McKinney2012,30,45,
2016-02-03,McKinney2012,46,78,
2016-02-04,McKinney2012,79,95,
2016-02-04,Corey2014a,9,25,
2016-02-05,McKinney2012,95,114,
2016-02-05,Corey2014a,25,47,
2016-02-06,Corey2014a,47,57,
2016-02-07,Corey2014a,57,101,
2016-02-08,Arazy2015,,,
2016-02-08,Corey2014a,101,122,
2016-02-09,Blau1995,1,4,
2016-02-09,Corey2014a,123,134,
2016-02-10,McKinney2012,114,145,
2016-02-11,Blau1995,4,11,
2016-02-11,Corey2014a,134,161,
2016-02-12,Corey2014a,161,175,
2016-02-13,Corey2014a,176,181,
2016-02-14,Johnson2009,194,215,
2016-02-14,Corey2014a,181,196,
2016-02-15,Corey2014a,197,206,
2016-02-16,Golder2004,1,25,25
2016-02-16,Corey2014a,206,217,
2016-02-17,McKinney2012,145,164,
2016-02-17,Corey2014a,218,247,
2016-02-20,Corey2014a,248,274,
2016-02-21,Johnson2009,215,240,240
2016-02-22,Corey2014a,275,303,
2016-02-23,Biddle1979,1,19,
2016-02-23,Corey2014a,304,309,
2016-02-24,Biddle1979,20,35,
2016-02-24,Corey2014a,310,338,
2016-02-25,Corey2014a,339,348,
2016-02-27,Corey2014a,349,394,
2016-02-28,Corey2014a,395,429,
2016-02-29,Corey2014a,430,452,
2016-03-01,Corey2014a,453,591,591
2016-03-02,Corey2012,7,11,
2016-03-03,Corey2012,12,29,
2016-03-04,Corey2012,30,59,
