date,key,begin_read,end_read,pages_total
2022-01-01,Greer2018,1,32,
2022-01-02,Greer2018,32,42,
2022-01-03,Greer2018,43,61,
2022-01-04,Greer2018,61,86,
2022-01-05,Greer2018,86,103,
2022-01-06,Greer2018,103,117,
2022-01-07,Greer2018,117,138,
2022-01-08,Greer2018,139,147,
2022-01-09,Greer2018,147,160,
2022-01-10,Greer2018,161,177,
2022-01-11,Greer2018,177,199,
2022-01-12,Greer2018,199,211,
2022-01-13,Greer2018,211,228,
2022-01-15,Greer2018,229,248,
2023-01-16,Greer2018,248,261,261
2023-01-17,Beckwith1970,-29,17,
2023-01-17,Haley2014,-29,-26,
2023-01-18,Haley2014,-26,-24,
2023-01-20,Haley2014,-24,0,
2023-01-21,Haley2014,1,7,
2023-01-22,Haley2014,7,17,
2023-01-23,Haley2014,17,24,
2023-01-24,Haley2014,24,33,
2023-01-25,Haley2014,34,42,
2023-01-26,Haley2014,42,46,
2023-01-27,Haley2014,46,71,
